month,city_id,trip_count,repeat_passenger_count
2024-01-01,AP01,10,7
2024-01-01,AP01,2,352
2024-01-01,AP01,3,158
2024-01-01,AP01,4,53
2024-01-01,AP01,5,38
2024-01-01,AP01,6,14
2024-01-01,AP01,7,10
2024-01-01,AP01,8,11
2024-01-01,AP01,9,7
2024-01-01,CH01,10,14
2024-01-01,CH01,2,196
2024-01-01,CH01,3,182
2024-01-01,CH01,4,87
2024-01-01,CH01,5,119
2024-01-01,CH01,6,44
2024-01-01,CH01,7,33
2024-01-01,CH01,8,31
2024-01-01,CH01,9,14
2024-01-01,GJ01,10,27
2024-01-01,GJ01,2,91
2024-01-01,GJ01,3,161
2024-01-01,GJ01,4,181
2024-01-01,GJ01,5,366
2024-01-01,GJ01,6,172
2024-01-01,GJ01,7,107
2024-01-01,GJ01,8,55
2024-01-01,GJ01,9,24
2024-01-01,GJ02,10,8
2024-01-01,GJ02,2,41
2024-01-01,GJ02,3,97
2024-01-01,GJ02,4,94
2024-01-01,GJ02,5,109
2024-01-01,GJ02,6,98
2024-01-01,GJ02,7,64
2024-01-01,GJ02,8,21
2024-01-01,GJ02,9,12
2024-01-01,KA01,10,1
2024-01-01,KA01,2,75
2024-01-01,KA01,3,54
2024-01-01,KA01,4,22
2024-01-01,KA01,5,10
2024-01-01,KA01,6,5
2024-01-01,KA01,7,2
2024-01-01,KA01,8,3
2024-01-01,KA01,9,0
2024-01-01,KL01,10,6
2024-01-01,KL01,2,410
2024-01-01,KL01,3,188
2024-01-01,KL01,4,58
2024-01-01,KL01,5,62
2024-01-01,KL01,6,33
2024-01-01,KL01,7,17
2024-01-01,KL01,8,13
2024-01-01,KL01,9,8
2024-01-01,MP01,10,13
2024-01-01,MP01,2,399
2024-01-01,MP01,3,194
2024-01-01,MP01,4,120
2024-01-01,MP01,5,120
2024-01-01,MP01,6,79
2024-01-01,MP01,7,54
2024-01-01,MP01,8,34
2024-01-01,MP01,9,20
2024-01-01,RJ01,10,13
2024-01-01,RJ01,2,705
2024-01-01,RJ01,3,278
2024-01-01,RJ01,4,194
2024-01-01,RJ01,5,118
2024-01-01,RJ01,6,35
2024-01-01,RJ01,7,43
2024-01-01,RJ01,8,22
2024-01-01,RJ01,9,14
2024-01-01,TN01,10,1
2024-01-01,TN01,2,49
2024-01-01,TN01,3,69
2024-01-01,TN01,4,64
2024-01-01,TN01,5,97
2024-01-01,TN01,6,54
2024-01-01,TN01,7,25
2024-01-01,TN01,8,23
2024-01-01,TN01,9,10
2024-01-01,UP01,10,14
2024-01-01,UP01,2,77
2024-01-01,UP01,3,202
2024-01-01,UP01,4,201
2024-01-01,UP01,5,352
2024-01-01,UP01,6,325
2024-01-01,UP01,7,137
2024-01-01,UP01,8,87
2024-01-01,UP01,9,36
2024-02-01,AP01,10,4
2024-02-01,AP01,2,433
2024-02-01,AP01,3,145
2024-02-01,AP01,4,94
2024-02-01,AP01,5,48
2024-02-01,AP01,6,34
2024-02-01,AP01,7,11
2024-02-01,AP01,8,14
2024-02-01,AP01,9,7
2024-02-01,CH01,10,13
2024-02-01,CH01,2,296
2024-02-01,CH01,3,147
2024-02-01,CH01,4,140
2024-02-01,CH01,5,127
2024-02-01,CH01,6,48
2024-02-01,CH01,7,36
2024-02-01,CH01,8,29
2024-02-01,CH01,9,17
2024-02-01,GJ01,10,16
2024-02-01,GJ01,2,87
2024-02-01,GJ01,3,148
2024-02-01,GJ01,4,284
2024-02-01,GJ01,5,197
2024-02-01,GJ01,6,307
2024-02-01,GJ01,7,140
2024-02-01,GJ01,8,112
2024-02-01,GJ01,9,22
2024-02-01,GJ02,10,8
2024-02-01,GJ02,2,83
2024-02-01,GJ02,3,76
2024-02-01,GJ02,4,70
2024-02-01,GJ02,5,101
2024-02-01,GJ02,6,137
2024-02-01,GJ02,7,93
2024-02-01,GJ02,8,28
2024-02-01,GJ02,9,14
2024-02-01,KA01,10,1
2024-02-01,KA01,2,91
2024-02-01,KA01,3,47
2024-02-01,KA01,4,18
2024-02-01,KA01,5,11
2024-02-01,KA01,6,8
2024-02-01,KA01,7,4
2024-02-01,KA01,8,2
2024-02-01,KA01,9,1
2024-02-01,KL01,10,10
2024-02-01,KL01,2,439
2024-02-01,KL01,3,239
2024-02-01,KL01,4,153
2024-02-01,KL01,5,75
2024-02-01,KL01,6,37
2024-02-01,KL01,7,16
2024-02-01,KL01,8,19
2024-02-01,KL01,9,17
2024-02-01,MP01,10,18
2024-02-01,MP01,2,332
2024-02-01,MP01,3,271
2024-02-01,MP01,4,176
2024-02-01,MP01,5,107
2024-02-01,MP01,6,59
2024-02-01,MP01,7,66
2024-02-01,MP01,8,46
2024-02-01,MP01,9,28
2024-02-01,RJ01,10,14
2024-02-01,RJ01,2,999
2024-02-01,RJ01,3,222
2024-02-01,RJ01,4,166
2024-02-01,RJ01,5,88
2024-02-01,RJ01,6,80
2024-02-01,RJ01,7,51
2024-02-01,RJ01,8,31
2024-02-01,RJ01,9,10
2024-02-01,TN01,10,3
2024-02-01,TN01,2,39
2024-02-01,TN01,3,39
2024-02-01,TN01,4,58
2024-02-01,TN01,5,66
2024-02-01,TN01,6,65
2024-02-01,TN01,7,38
2024-02-01,TN01,8,28
2024-02-01,TN01,9,10
2024-02-01,UP01,10,20
2024-02-01,UP01,2,169
2024-02-01,UP01,3,180
2024-02-01,UP01,4,301
2024-02-01,UP01,5,288
2024-02-01,UP01,6,323
2024-02-01,UP01,7,201
2024-02-01,UP01,8,129
2024-02-01,UP01,9,48
2024-03-01,AP01,10,7
2024-03-01,AP01,2,505
2024-03-01,AP01,3,225
2024-03-01,AP01,4,87
2024-03-01,AP01,5,51
2024-03-01,AP01,6,15
2024-03-01,AP01,7,15
2024-03-01,AP01,8,8
2024-03-01,AP01,9,10
2024-03-01,CH01,10,19
2024-03-01,CH01,2,333
2024-03-01,CH01,3,175
2024-03-01,CH01,4,102
2024-03-01,CH01,5,79
2024-03-01,CH01,6,70
2024-03-01,CH01,7,38
2024-03-01,CH01,8,33
2024-03-01,CH01,9,23
2024-03-01,GJ01,10,20
2024-03-01,GJ01,2,181
2024-03-01,GJ01,3,238
2024-03-01,GJ01,4,167
2024-03-01,GJ01,5,324
2024-03-01,GJ01,6,287
2024-03-01,GJ01,7,202
2024-03-01,GJ01,8,54
2024-03-01,GJ01,9,21
2024-03-01,GJ02,10,12
2024-03-01,GJ02,2,72
2024-03-01,GJ02,3,122
2024-03-01,GJ02,4,94
2024-03-01,GJ02,5,150
2024-03-01,GJ02,6,150
2024-03-01,GJ02,7,106
2024-03-01,GJ02,8,40
2024-03-01,GJ02,9,13
2024-03-01,KA01,10,0
2024-03-01,KA01,2,100
2024-03-01,KA01,3,54
2024-03-01,KA01,4,20
2024-03-01,KA01,5,13
2024-03-01,KA01,6,13
2024-03-01,KA01,7,4
2024-03-01,KA01,8,2
2024-03-01,KA01,9,2
2024-03-01,KL01,10,16
2024-03-01,KL01,2,504
2024-03-01,KL01,3,371
2024-03-01,KL01,4,209
2024-03-01,KL01,5,103
2024-03-01,KL01,6,67
2024-03-01,KL01,7,40
2024-03-01,KL01,8,26
2024-03-01,KL01,9,12
2024-03-01,MP01,10,25
2024-03-01,MP01,2,337
2024-03-01,MP01,3,314
2024-03-01,MP01,4,96
2024-03-01,MP01,5,114
2024-03-01,MP01,6,79
2024-03-01,MP01,7,58
2024-03-01,MP01,8,35
2024-03-01,MP01,9,33
2024-03-01,RJ01,10,17
2024-03-01,RJ01,2,843
2024-03-01,RJ01,3,467
2024-03-01,RJ01,4,241
2024-03-01,RJ01,5,119
2024-03-01,RJ01,6,62
2024-03-01,RJ01,7,41
2024-03-01,RJ01,8,25
2024-03-01,RJ01,9,25
2024-03-01,TN01,10,7
2024-03-01,TN01,2,39
2024-03-01,TN01,3,49
2024-03-01,TN01,4,71
2024-03-01,TN01,5,108
2024-03-01,TN01,6,79
2024-03-01,TN01,7,49
2024-03-01,TN01,8,19
2024-03-01,TN01,9,6
2024-03-01,UP01,10,17
2024-03-01,UP01,2,125
2024-03-01,UP01,3,264
2024-03-01,UP01,4,325
2024-03-01,UP01,5,299
2024-03-01,UP01,6,266
2024-03-01,UP01,7,169
2024-03-01,UP01,8,134
2024-03-01,UP01,9,23
2024-04-01,AP01,10,7
2024-04-01,AP01,2,427
2024-04-01,AP01,3,330
2024-04-01,AP01,4,115
2024-04-01,AP01,5,38
2024-04-01,AP01,6,28
2024-04-01,AP01,7,24
2024-04-01,AP01,8,14
2024-04-01,AP01,9,9
2024-04-01,CH01,10,12
2024-04-01,CH01,2,255
2024-04-01,CH01,3,153
2024-04-01,CH01,4,122
2024-04-01,CH01,5,113
2024-04-01,CH01,6,55
2024-04-01,CH01,7,44
2024-04-01,CH01,8,25
2024-04-01,CH01,9,10
2024-04-01,GJ01,10,24
2024-04-01,GJ01,2,166
2024-04-01,GJ01,3,166
2024-04-01,GJ01,4,237
2024-04-01,GJ01,5,367
2024-04-01,GJ01,6,173
2024-04-01,GJ01,7,265
2024-04-01,GJ01,8,135
2024-04-01,GJ01,9,18
2024-04-01,GJ02,10,10
2024-04-01,GJ02,2,70
2024-04-01,GJ02,3,109
2024-04-01,GJ02,4,179
2024-04-01,GJ02,5,172
2024-04-01,GJ02,6,159
2024-04-01,GJ02,7,111
2024-04-01,GJ02,8,38
2024-04-01,GJ02,9,14
2024-04-01,KA01,10,1
2024-04-01,KA01,2,96
2024-04-01,KA01,3,71
2024-04-01,KA01,4,29
2024-04-01,KA01,5,19
2024-04-01,KA01,6,10
2024-04-01,KA01,7,2
2024-04-01,KA01,8,5
2024-04-01,KA01,9,3
2024-04-01,KL01,10,10
2024-04-01,KL01,2,846
2024-04-01,KL01,3,324
2024-04-01,KL01,4,182
2024-04-01,KL01,5,94
2024-04-01,KL01,6,43
2024-04-01,KL01,7,35
2024-04-01,KL01,8,20
2024-04-01,KL01,9,22
2024-04-01,MP01,10,17
2024-04-01,MP01,2,421
2024-04-01,MP01,3,296
2024-04-01,MP01,4,184
2024-04-01,MP01,5,115
2024-04-01,MP01,6,108
2024-04-01,MP01,7,71
2024-04-01,MP01,8,39
2024-04-01,MP01,9,44
2024-04-01,RJ01,10,16
2024-04-01,RJ01,2,991
2024-04-01,RJ01,3,282
2024-04-01,RJ01,4,218
2024-04-01,RJ01,5,91
2024-04-01,RJ01,6,63
2024-04-01,RJ01,7,30
2024-04-01,RJ01,8,22
2024-04-01,RJ01,9,23
2024-04-01,TN01,10,12
2024-04-01,TN01,2,53
2024-04-01,TN01,3,81
2024-04-01,TN01,4,62
2024-04-01,TN01,5,86
2024-04-01,TN01,6,88
2024-04-01,TN01,7,56
2024-04-01,TN01,8,26
2024-04-01,TN01,9,16
2024-04-01,UP01,10,20
2024-04-01,UP01,2,130
2024-04-01,UP01,3,204
2024-04-01,UP01,4,160
2024-04-01,UP01,5,241
2024-04-01,UP01,6,377
2024-04-01,UP01,7,209
2024-04-01,UP01,8,136
2024-04-01,UP01,9,19
2024-05-01,AP01,10,11
2024-05-01,AP01,2,500
2024-05-01,AP01,3,239
2024-05-01,AP01,4,92
2024-05-01,AP01,5,39
2024-05-01,AP01,6,32
2024-05-01,AP01,7,19
2024-05-01,AP01,8,13
2024-05-01,AP01,9,6
2024-05-01,CH01,10,15
2024-05-01,CH01,2,338
2024-05-01,CH01,3,164
2024-05-01,CH01,4,135
2024-05-01,CH01,5,101
2024-05-01,CH01,6,78
2024-05-01,CH01,7,75
2024-05-01,CH01,8,33
2024-05-01,CH01,9,30
2024-05-01,GJ01,10,19
2024-05-01,GJ01,2,161
2024-05-01,GJ01,3,255
2024-05-01,GJ01,4,216
2024-05-01,GJ01,5,234
2024-05-01,GJ01,6,368
2024-05-01,GJ01,7,211
2024-05-01,GJ01,8,111
2024-05-01,GJ01,9,31
2024-05-01,GJ02,10,17
2024-05-01,GJ02,2,110
2024-05-01,GJ02,3,81
2024-05-01,GJ02,4,160
2024-05-01,GJ02,5,161
2024-05-01,GJ02,6,152
2024-05-01,GJ02,7,96
2024-05-01,GJ02,8,70
2024-05-01,GJ02,9,21
2024-05-01,KA01,10,3
2024-05-01,KA01,2,180
2024-05-01,KA01,3,67
2024-05-01,KA01,4,51
2024-05-01,KA01,5,17
2024-05-01,KA01,6,17
2024-05-01,KA01,7,9
2024-05-01,KA01,8,4
2024-05-01,KA01,9,1
2024-05-01,KL01,10,14
2024-05-01,KL01,2,971
2024-05-01,KL01,3,468
2024-05-01,KL01,4,151
2024-05-01,KL01,5,88
2024-05-01,KL01,6,83
2024-05-01,KL01,7,28
2024-05-01,KL01,8,29
2024-05-01,KL01,9,21
2024-05-01,MP01,10,22
2024-05-01,MP01,2,613
2024-05-01,MP01,3,284
2024-05-01,MP01,4,234
2024-05-01,MP01,5,173
2024-05-01,MP01,6,101
2024-05-01,MP01,7,61
2024-05-01,MP01,8,48
2024-05-01,MP01,9,27
2024-05-01,RJ01,10,24
2024-05-01,RJ01,2,902
2024-05-01,RJ01,3,365
2024-05-01,RJ01,4,216
2024-05-01,RJ01,5,98
2024-05-01,RJ01,6,115
2024-05-01,RJ01,7,41
2024-05-01,RJ01,8,56
2024-05-01,RJ01,9,25
2024-05-01,TN01,10,3
2024-05-01,TN01,2,43
2024-05-01,TN01,3,92
2024-05-01,TN01,4,72
2024-05-01,TN01,5,83
2024-05-01,TN01,6,113
2024-05-01,TN01,7,57
2024-05-01,TN01,8,30
2024-05-01,TN01,9,11
2024-05-01,UP01,10,18
2024-05-01,UP01,2,225
2024-05-01,UP01,3,247
2024-05-01,UP01,4,271
2024-05-01,UP01,5,316
2024-05-01,UP01,6,374
2024-05-01,UP01,7,125
2024-05-01,UP01,8,48
2024-05-01,UP01,9,38
2024-06-01,AP01,10,11
2024-06-01,AP01,2,401
2024-06-01,AP01,3,178
2024-06-01,AP01,4,69
2024-06-01,AP01,5,64
2024-06-01,AP01,6,40
2024-06-01,AP01,7,22
2024-06-01,AP01,8,11
2024-06-01,AP01,9,6
2024-06-01,CH01,10,18
2024-06-01,CH01,2,220
2024-06-01,CH01,3,155
2024-06-01,CH01,4,212
2024-06-01,CH01,5,80
2024-06-01,CH01,6,81
2024-06-01,CH01,7,52
2024-06-01,CH01,8,25
2024-06-01,CH01,9,24
2024-06-01,GJ01,10,11
2024-06-01,GJ01,2,157
2024-06-01,GJ01,3,264
2024-06-01,GJ01,4,345
2024-06-01,GJ01,5,218
2024-06-01,GJ01,6,287
2024-06-01,GJ01,7,102
2024-06-01,GJ01,8,72
2024-06-01,GJ01,9,34
2024-06-01,GJ02,10,15
2024-06-01,GJ02,2,53
2024-06-01,GJ02,3,131
2024-06-01,GJ02,4,121
2024-06-01,GJ02,5,92
2024-06-01,GJ02,6,133
2024-06-01,GJ02,7,89
2024-06-01,GJ02,8,54
2024-06-01,GJ02,9,15
2024-06-01,KA01,10,1
2024-06-01,KA01,2,178
2024-06-01,KA01,3,68
2024-06-01,KA01,4,48
2024-06-01,KA01,5,16
2024-06-01,KA01,6,7
2024-06-01,KA01,7,5
2024-06-01,KA01,8,5
2024-06-01,KA01,9,1
2024-06-01,KL01,10,6
2024-06-01,KL01,2,465
2024-06-01,KL01,3,267
2024-06-01,KL01,4,148
2024-06-01,KL01,5,72
2024-06-01,KL01,6,35
2024-06-01,KL01,7,25
2024-06-01,KL01,8,19
2024-06-01,KL01,9,12
2024-06-01,MP01,10,14
2024-06-01,MP01,2,376
2024-06-01,MP01,3,278
2024-06-01,MP01,4,157
2024-06-01,MP01,5,117
2024-06-01,MP01,6,68
2024-06-01,MP01,7,68
2024-06-01,MP01,8,33
2024-06-01,MP01,9,20
2024-06-01,RJ01,10,10
2024-06-01,RJ01,2,415
2024-06-01,RJ01,3,393
2024-06-01,RJ01,4,138
2024-06-01,RJ01,5,95
2024-06-01,RJ01,6,45
2024-06-01,RJ01,7,38
2024-06-01,RJ01,8,28
2024-06-01,RJ01,9,19
2024-06-01,TN01,10,5
2024-06-01,TN01,2,63
2024-06-01,TN01,3,48
2024-06-01,TN01,4,70
2024-06-01,TN01,5,86
2024-06-01,TN01,6,51
2024-06-01,TN01,7,42
2024-06-01,TN01,8,31
2024-06-01,TN01,9,6
2024-06-01,UP01,10,17
2024-06-01,UP01,2,201
2024-06-01,UP01,3,320
2024-06-01,UP01,4,297
2024-06-01,UP01,5,272
2024-06-01,UP01,6,272
2024-06-01,UP01,7,246
2024-06-01,UP01,8,83
2024-06-01,UP01,9,19
